Temp: 0.0°C, Hum: 0.0%, Suelo: 4.0%, Luz: 0, MQ5: 0
Temp: 24.7°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3655, MQ5: 630
Temp: 24.7°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3649, MQ5: 703
Temp: 0.0°C, Hum: 0.0%, Suelo: 0.0%, Luz: 0, MQ5: 0
Temp: 24.3°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3648, MQ5: 702
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 24.8°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3639, MQ5: 688
Temp: 24.2°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3647, MQ5: 712
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.9°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3632, MQ5: 701
Temp: 0.0°C, Hum: 0.0%, Suelo: 5.0%, Luz: 0, MQ5: 0
Temp: 23.2°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3571, MQ5: 683
Temp: 23.3°C, Hum: 61.0%, Suelo: 0.0%, Luz: 2480, MQ5: 665
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.0°C, Hum: 61.0%, Suelo: 0.0%, Luz: 2480, MQ5: 671
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.2°C, Hum: 61.0%, Suelo: 0.0%, Luz: 2501, MQ5: 672
Temp: 23.5°C, Hum: 61.0%, Suelo: 0.0%, Luz: 2416, MQ5: 706
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3529, MQ5: 677
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.9°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3514, MQ5: 652
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.3°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3514, MQ5: 661
Temp: 23.2°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3511, MQ5: 651
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3510, MQ5: 670
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3511, MQ5: 675
Temp: 23.9°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3523, MQ5: 717
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3525, MQ5: 704
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3509, MQ5: 687
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3454, MQ5: 700
Temp: 23.7°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3520, MQ5: 758
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.7°C, Hum: 61.0%, Suelo: 0.0%, Luz: 3514, MQ5: 685
